node_id,node_type,latitude,longitude,role_priority,capacity,influence_score
Node_001,alert_origin,36.786345,33.481886,5,1000,1.0
Node_002,control_center,36.278247,2.853408,4,500,0.8
Node_003,control_center,65.666764,6.856296,4,500,0.8
Node_004,control_center,61.360597,11.886516,4,500,0.8
Node_005,control_center,68.83336,-5.44925,4,500,0.8
Node_006,control_center,48.617107,-9.080992,4,500,0.8
Node_007,control_center,35.174193,-1.068857,4,500,0.8
Node_008,control_center,66.188187,17.791159,4,500,0.8
Node_009,control_center,43.866885,20.197731,4,500,0.8
Node_010,control_center,64.802042,39.997243,4,500,0.8
Node_011,control_center,35.131673,19.178645,4,500,0.8
Node_012,media_outlet,40.520256,24.101144,3,200,0.6
Node_013,media_outlet,62.070007,14.245023,3,200,0.6
Node_014,media_outlet,61.547299,30.300939,3,200,0.6
Node_015,media_outlet,45.77529,4.307577,3,200,0.6
Node_016,media_outlet,43.931959,-4.551035,3,200,0.6
Node_017,media_outlet,46.361098,28.77263,3,200,0.6
Node_018,media_outlet,58.882686,16.606633,3,200,0.6
Node_019,media_outlet,49.629541,34.269857,3,200,0.6
Node_020,media_outlet,35.594562,-4.49073,3,200,0.6
Node_021,media_outlet,47.447688,31.90068,3,200,0.6
Node_022,media_outlet,54.372629,11.232361,3,200,0.6
Node_023,media_outlet,43.126032,38.699193,3,200,0.6
Node_024,media_outlet,54.916472,17.144763,3,200,0.6
Node_025,media_outlet,55.440048,-5.708692,3,200,0.6
Node_026,media_outlet,50.278029,8.015869,3,200,0.6
Node_027,media_outlet,35.058256,0.601573,3,200,0.6
Node_028,media_outlet,57.835214,-8.18349,3,200,0.6
Node_029,media_outlet,62.656381,2.713018,3,200,0.6
Node_030,media_outlet,55.200344,12.059125,3,200,0.6
Node_031,media_outlet,51.843691,-8.212037,3,200,0.6
Node_032,community_leader,42.918897,32.420113,2,100,0.4
Node_033,community_leader,42.355892,12.554795,2,100,0.4
Node_034,community_leader,53.952087,29.591692,2,100,0.4
Node_035,community_leader,35.945795,-2.525101,2,100,0.4
Node_036,community_leader,40.713313,-2.356039,2,100,0.4
Node_037,community_leader,53.273237,31.599228,2,100,0.4
Node_038,community_leader,48.589165,-4.050436,2,100,0.4
Node_039,community_leader,65.506851,6.662599,2,100,0.4
Node_040,community_leader,37.346833,30.375732,2,100,0.4
Node_041,community_leader,53.595691,6.259152,2,100,0.4
Node_042,community_leader,65.48866,26.280769,2,100,0.4
Node_043,community_leader,66.072728,27.403365,2,100,0.4
Node_044,community_leader,60.487384,7.639419,2,100,0.4
Node_045,community_leader,37.210349,13.520652,2,100,0.4
Node_046,community_leader,59.189577,34.117871,2,100,0.4
Node_047,community_leader,43.66889,18.778974,2,100,0.4
Node_048,community_leader,40.922651,18.678247,2,100,0.4
Node_049,community_leader,56.5193,16.585169,2,100,0.4
Node_050,community_leader,67.229253,15.055266,2,100,0.4
Node_051,community_leader,35.661608,21.810121,2,100,0.4
Node_052,community_leader,39.999971,14.935587,2,100,0.4
Node_053,community_leader,51.009057,-5.439628,2,100,0.4
Node_054,community_leader,67.37925,-9.529686,2,100,0.4
Node_055,community_leader,41.46251,19.401269,2,100,0.4
Node_056,community_leader,38.980424,27.979789,2,100,0.4
Node_057,community_leader,43.958272,38.160645,2,100,0.4
Node_058,community_leader,66.943299,-7.970356,2,100,0.4
Node_059,community_leader,52.966694,19.201103,2,100,0.4
Node_060,community_leader,35.867756,38.182574,2,100,0.4
Node_061,community_leader,49.850216,14.690053,2,100,0.4
Node_062,community_leader,54.743114,-1.99182,2,100,0.4
Node_063,community_leader,40.44872,-7.604387,2,100,0.4
Node_064,community_leader,52.814079,34.56586,2,100,0.4
Node_065,community_leader,50.710969,26.180708,2,100,0.4
Node_066,community_leader,45.841034,26.39829,2,100,0.4
Node_067,community_leader,44.971607,10.997752,2,100,0.4
Node_068,community_leader,62.121743,-7.732139,2,100,0.4
Node_069,community_leader,64.09203,7.200035,2,100,0.4
Node_070,community_leader,46.011744,10.938867,2,100,0.4
Node_071,community_leader,36.449071,-2.167839,2,100,0.4
Node_072,community_leader,47.495487,9.904485,2,100,0.4
Node_073,community_leader,65.251154,17.102369,2,100,0.4
Node_074,community_leader,35.925639,19.68567,2,100,0.4
Node_075,community_leader,64.112236,25.223762,2,100,0.4
Node_076,community_leader,37.364085,0.954328,2,100,0.4
Node_077,community_leader,44.711999,12.476252,2,100,0.4
Node_078,community_leader,60.545815,0.80985,2,100,0.4
Node_079,community_leader,35.183489,8.911759,2,100,0.4
Node_080,community_leader,58.099506,-1.625419,2,100,0.4
Node_081,community_leader,47.841499,8.523371,2,100,0.4
Node_082,citizen,45.948445,-0.067565,1,10,0.2
Node_083,citizen,49.817218,11.999669,1,10,0.2
Node_084,citizen,44.19409,0.763764,1,10,0.2
Node_085,citizen,49.963786,-7.669244,1,10,0.2
Node_086,citizen,67.676819,30.732,1,10,0.2
Node_087,citizen,55.755343,30.475198,1,10,0.2
Node_088,citizen,47.420376,7.207506,1,10,0.2
Node_089,citizen,51.877346,-2.664702,1,10,0.2
Node_090,citizen,39.356796,-1.150058,1,10,0.2
Node_091,citizen,61.433226,-3.30127,1,10,0.2
Node_092,citizen,57.683081,-5.614006,1,10,0.2
Node_093,citizen,37.395097,34.058162,1,10,0.2
Node_094,citizen,62.383072,15.373681,1,10,0.2
Node_095,citizen,47.122926,4.842617,1,10,0.2
Node_096,citizen,60.58661,-1.394277,1,10,0.2
Node_097,citizen,58.777259,14.363136,1,10,0.2
Node_098,citizen,60.398294,8.599507,1,10,0.2
Node_099,citizen,51.52176,16.259915,1,10,0.2
Node_100,citizen,41.888721,22.266077,1,10,0.2
Node_101,citizen,57.2083,-7.810911,1,10,0.2
Node_102,citizen,37.647713,2.301808,1,10,0.2
Node_103,citizen,60.254183,34.835574,1,10,0.2
Node_104,citizen,67.064824,37.258125,1,10,0.2
Node_105,citizen,57.560865,-8.201916,1,10,0.2
Node_106,citizen,36.164141,-5.031197,1,10,0.2
Node_107,citizen,43.805641,2.221782,1,10,0.2
Node_108,citizen,37.555815,-2.608365,1,10,0.2
Node_109,citizen,63.047329,38.814004,1,10,0.2
Node_110,citizen,64.699603,18.097982,1,10,0.2
Node_111,citizen,47.40582,22.117325,1,10,0.2
Node_112,citizen,38.190576,26.194847,1,10,0.2
Node_113,citizen,48.20638,22.321381,1,10,0.2
Node_114,citizen,38.088372,1.340784,1,10,0.2
Node_115,citizen,61.742023,-2.18866,1,10,0.2
Node_116,citizen,43.520874,1.349994,1,10,0.2
Node_117,citizen,59.526926,3.933052,1,10,0.2
Node_118,citizen,63.556525,3.204208,1,10,0.2
Node_119,citizen,62.733465,19.765335,1,10,0.2
Node_120,citizen,51.450174,-8.708849,1,10,0.2
Node_121,citizen,51.322747,31.464547,1,10,0.2
Node_122,citizen,37.656833,5.4156,1,10,0.2
Node_123,citizen,67.637805,6.034302,1,10,0.2
Node_124,citizen,43.36638,3.269068,1,10,0.2
Node_125,citizen,42.595067,-6.68071,1,10,0.2
Node_126,citizen,62.129329,7.521951,1,10,0.2
Node_127,citizen,48.435828,9.597913,1,10,0.2
Node_128,citizen,58.557171,34.004362,1,10,0.2
Node_129,citizen,53.665696,12.156092,1,10,0.2
Node_130,citizen,58.203806,23.09921,1,10,0.2
Node_131,citizen,43.81752,-7.02397,1,10,0.2
Node_132,citizen,60.030869,21.05116,1,10,0.2
Node_133,citizen,39.616475,-7.732966,1,10,0.2
Node_134,citizen,39.870496,32.882985,1,10,0.2
Node_135,citizen,64.1373,21.697504,1,10,0.2
Node_136,citizen,38.738034,-2.293738,1,10,0.2
Node_137,citizen,62.5974,27.371128,1,10,0.2
Node_138,citizen,36.991556,20.124986,1,10,0.2
Node_139,citizen,52.177257,20.049992,1,10,0.2
Node_140,citizen,49.884302,35.183678,1,10,0.2
Node_141,citizen,40.118144,-6.061813,1,10,0.2
Node_142,citizen,60.48253,4.285655,1,10,0.2
Node_143,citizen,40.390737,16.668706,1,10,0.2
Node_144,citizen,68.97097,-9.841856,1,10,0.2
Node_145,citizen,60.55579,38.214832,1,10,0.2
Node_146,citizen,41.33227,2.127861,1,10,0.2
